Number of Processes,Memory Used (MB),Time Elapsed (ms)
182,4209.07421875,93917.38724708557
183,4236.2421875,94428.10916900635
184,4253.8125,94945.64414024353
185,4275.609375,95454.8749923706
186,4308.91015625,95962.41617202759
187,4335.89453125,96472.94664382935
188,4364.109375,96980.6580543518
189,4384.421875,97489.21966552734
190,4406.89453125,97997.318983078
191,4422.1328125,98505.4202079773
192,4442.11328125,99014.31012153625
193,4463.72265625,99522.03941345215
194,4479.6953125,100029.89888191223
195,4502.171875,100544.82960700989
196,4533.2421875,101053.55262756348
197,4556.76953125,101561.38253211975
198,4583.80859375,102069.63872909546
199,4608.13671875,102586.40694618225
200,4631.75390625,103107.82432556152
201,4657.11328125,103624.65739250183
202,4677.69921875,104148.63538742065
203,4697.08203125,104655.43293952942
204,4721.90234375,105163.40827941895
205,4742.09375,105671.43034934998
206,4769.82421875,106179.45313453674
207,4792.5078125,106687.44945526123
208,4817.7109375,107204.62393760681
209,4843.671875,107712.39447593689
210,4865.23046875,108224.85041618347
211,4881.14453125,108762.65788078308
212,4908.1640625,109290.86589813232
213,4926.83203125,109798.39301109314
214,4942.58984375,110306.4181804657
215,4974.51953125,110814.41330909729
216,4996.0703125,111326.80320739746
217,5025.265625,111838.91153335571
218,5041.30859375,112353.28197479248
219,5059.1328125,112861.6418838501
220,5084.57421875,113369.44127082825
221,5105.66015625,113887.52913475037
222,5134.23046875,114397.94063568115
223,5156.8203125,114909.76643562317
224,5181.83203125,115417.37818717957
225,5204.37109375,115925.4457950592
226,5230.84765625,116433.42804908752
227,5251.00390625,116942.09384918213
228,5275.23828125,117451.43866539001
229,5304.28515625,117958.9204788208
230,5329.953125,118470.3414440155
231,5354.11328125,118978.40642929077
232,5369.12109375,119486.45257949829
233,5384.06640625,119994.43101882935
234,5404.5703125,120506.028175354
235,5428.2734375,121022.4838256836
236,5458.359375,121532.9201221466
237,5484.01171875,122041.19348526001
238,5508.23046875,122549.39270019531
239,5529.11328125,123060.77194213867
240,5547.765625,123568.42064857483
241,5566.99609375,124093.25361251831
242,5590.4375,124605.05938529968
243,5614.64453125,125121.27184867859
244,5636.2890625,125628.61943244934
245,5662.19140625,126154.14118766785
246,5686.3515625,126662.42027282715
247,5717.80078125,127169.41404342651
248,5742.1328125,127703.38439941406
