Block Size (MB),Trial Num,Allocation Time (ms),Write Time (ms),Read Time (ms),Free Time (ms)
400,90,0.005,1130.323,1130.295,0.017
400,91,0.004,1130.314,1130.377,0.014
400,92,0.004,1130.297,1130.281,0.016
400,93,0.005,1130.305,1130.305,0.011
400,94,0.003,1130.328,1130.354,0.016
400,95,0.004,1130.323,1130.308,0.015
400,96,0.004,1130.337,1130.347,0.015
400,97,0.004,1130.298,1130.333,0.013
400,98,0.004,1130.324,1130.307,0.015
400,99,0.005,1130.367,1130.313,0.016
400,100,0.005,1130.306,1130.327,0.014
500,1,0.034,1412.903,1412.922,0.016
500,2,0.004,1412.899,1412.885,0.016
500,3,0.004,1412.862,1412.906,0.016
500,4,0.005,1412.871,1412.933,0.015
500,5,0.004,1412.931,1412.875,0.016
500,6,0.004,1412.898,1412.916,0.016
500,7,0.005,1412.927,1412.948,0.017
500,8,0.005,1412.898,1412.913,0.017
500,9,0.005,1412.867,1412.890,0.016
500,10,0.004,1412.913,1412.872,0.014
500,11,0.004,1412.950,1412.892,0.016
500,12,0.005,1412.869,1412.960,0.006
500,13,0.002,1412.928,1412.946,0.017
500,14,0.005,1412.940,1412.918,0.016
500,15,0.005,1412.923,1412.915,0.014
500,16,0.004,1412.887,1412.897,0.012
500,17,0.003,1413.006,1412.881,0.016
500,18,0.005,1412.922,1412.883,0.013
500,19,0.004,1412.869,1412.894,0.017
500,20,0.005,1412.887,1412.971,0.015
500,21,0.005,1412.910,1412.894,0.016
500,22,0.004,1412.928,1412.876,0.017
500,23,0.004,1412.871,1412.944,0.016
500,24,0.004,1412.872,1412.913,0.016
500,25,0.005,1412.887,1412.906,0.014
500,26,0.004,1412.947,1412.917,0.017
500,27,0.004,1412.951,1412.888,0.016
500,28,0.005,1412.985,1412.900,0.016
500,29,0.004,1412.883,1412.905,0.016
500,30,0.005,1412.921,1412.956,0.016
500,31,0.004,1412.914,1412.893,0.015
500,32,0.004,1412.879,1412.885,0.015
500,33,0.004,1412.924,1412.909,0.013
500,34,0.004,1412.885,1412.871,0.016
500,35,0.004,1412.905,1412.863,0.017
500,36,0.005,1412.857,1412.897,0.015
500,37,0.004,1412.896,1412.902,0.014
500,38,0.005,1412.934,1412.891,0.014
500,39,0.004,1412.897,1412.895,0.016
500,40,0.004,1412.915,1412.880,0.016
500,41,0.004,1412.859,1412.909,0.013
500,42,0.004,1412.916,1412.916,0.017
500,43,0.004,1412.931,1412.963,0.016
500,44,0.004,1412.888,1412.852,0.004
500,45,0.001,1412.956,1412.885,0.016
500,46,0.005,1412.901,1412.930,0.015
500,47,0.004,1412.901,1412.928,0.016
500,48,0.005,1412.903,1412.928,0.016
500,49,0.004,1412.903,1412.917,0.016
500,50,0.004,1412.856,1412.860,0.004
500,51,0.001,1412.959,1412.918,0.017
500,52,0.005,1412.911,1412.927,0.016
500,53,0.004,1412.942,1412.893,0.017
500,54,0.004,1412.920,1412.864,0.017
500,55,0.005,1412.864,1412.875,0.016
500,56,0.005,1412.961,1412.926,0.016
500,57,0.005,1412.903,1412.875,0.015
500,58,0.005,1412.915,1412.891,0.017
500,59,0.005,1412.904,1412.934,0.016
500,60,0.005,1412.932,1412.881,0.015
500,61,0.004,1412.869,1412.913,0.014
500,62,0.004,1412.959,1412.960,0.016
500,63,0.005,1412.970,1412.858,0.016
500,64,0.005,1412.849,1412.913,0.014
500,65,0.004,1412.868,1412.898,0.009
500,66,0.002,1412.862,1412.917,0.017
500,67,0.005,1412.949,1412.896,0.016
500,68,0.005,1412.928,1412.867,0.014
500,69,0.004,1412.892,1412.896,0.015
500,70,0.005,1412.916,1412.916,0.016
500,71,0.004,1412.886,1412.956,0.017
500,72,0.004,1412.916,1412.885,0.017
500,73,0.005,1412.932,1412.875,0.016
500,74,0.004,1412.907,1412.864,0.015
500,75,0.005,1412.913,1412.958,0.016
500,76,0.004,1412.830,1412.912,0.013
500,77,0.004,1412.876,1412.927,0.016
500,78,0.004,1412.898,1412.835,0.015
500,79,0.004,1412.903,1412.893,0.013
500,80,0.004,1412.902,1412.894,0.009
500,81,0.003,1412.933,1412.910,0.017
500,82,0.004,1412.881,1412.918,0.015
500,83,0.004,1412.938,1412.908,0.015
500,84,0.005,1412.913,1412.868,0.016
500,85,0.005,1412.918,1412.875,0.016
500,86,0.004,1412.923,1412.954,0.015
500,87,0.004,1412.892,1412.918,0.016
500,88,0.004,1412.923,1412.884,0.014
500,89,0.004,1412.876,1412.918,0.016
500,90,0.004,1412.942,1412.879,0.015
500,91,0.004,1412.860,1412.849,0.017
500,92,0.005,1412.897,1412.855,0.017
500,93,0.004,1412.941,1412.914,0.015
500,94,0.005,1412.916,1412.950,0.015
500,95,0.004,1412.886,1412.860,0.016
