Number of Processes,Memory Used (MB),Time Elapsed (ms)
2186,12114.57421875,5576147.330522537
2187,12109.75390625,5578720.989227295
2188,12114.734375,5581241.286039352
2189,12119.48828125,5584020.651340485
2190,12112.3515625,5586636.363744736
2191,12121.5390625,5589230.502843857
2192,12131.6875,5591955.838918686
2193,12130.97265625,5594491.581439972
2194,12132.0234375,5597022.518396378
2195,12119.25390625,5599582.698106766
2196,12128.5625,5602254.228115082
2197,12125.03515625,5604778.0418396
2198,12134.28515625,5607305.842876434
2199,12140.328125,5609848.960876465
2200,12126.484375,5612398.296833038
2201,12140.203125,5614911.185503006
2202,12147.82421875,5617461.019039154
2203,12156.32421875,5619980.570077896
2204,12164.8359375,5622682.754516602
2205,12169.91015625,5625209.726810455
2206,12171.97265625,5627744.99630928
2207,12179.265625,5630413.031578064
2208,12185.69921875,5632931.8861961365
2209,12192.8984375,5635451.308250427
2210,12205.44140625,5637979.154586792
2211,12215.60546875,5640495.1910972595
2212,12231.21875,5643011.76404953
2213,12229.74609375,5645546.255350113
2214,12213.01953125,5648094.961643219
2215,12232.921875,5650625.449419022
2216,12215.00390625,5653146.125793457
2217,12231.5625,5655686.792850494
2218,12234.58984375,5658210.412979126
2219,12237.32421875,5660753.9002895355
2220,12238.18359375,5663296.601772308
2221,12228.89453125,5665955.462694168
2222,12239.41796875,5668585.009813309
2223,12241.82421875,5671098.8647937775
2224,12241.76171875,5673699.92518425
2225,12241.375,5676217.741012573
2226,12238.109375,5678774.4562625885
2227,12242.609375,5681341.744661331
2228,12238.0390625,5684099.631071091
2229,12242.07421875,5686635.486125946
2230,12246.6953125,5689185.822248459
2231,12260.2265625,5691850.611686707
2232,12264.86328125,5694381.487607956
2233,12262.5390625,5696923.020124435
2234,12265.63671875,5699505.889415741
2235,12265.05078125,5702280.746221542
2236,12255.86328125,5704796.801328659
2237,12261.99609375,5707360.505104065
2238,12266.46484375,5710046.9563007355
2239,12263.94921875,5712581.112146378
2240,12274.4296875,5715157.315254211
2241,12272.578125,5717671.242713928
