Number of Processes,Memory Used (MB),Time Elapsed (ms)
473,10464.21875,242515.2006149292
474,10487.046875,243028.94139289856
475,10514.10546875,243536.09657287598
476,10545.0703125,244043.639421463
477,10566.10546875,244551.14674568176
478,10592.12890625,245067.75903701782
479,10616.44921875,245576.4729976654
480,10646.3828125,246087.43739128113
481,10669.42578125,246598.43277931213
482,10693.66796875,247105.25727272034
483,10729.375,247613.43550682068
484,10745.0703125,248121.1314201355
485,10758.7265625,248641.67094230652
486,10778.875,249148.175239563
487,10815.31640625,249660.16626358032
488,10831.82421875,250173.180103302
489,10855.16796875,250681.20956420898
490,10871.98828125,251191.5922164917
491,10899.8203125,251698.75407218933
492,10931.5703125,252209.17415618896
493,10950.1328125,252717.21172332764
494,10970.44921875,253225.30555725098
495,11000.9140625,253749.6976852417
496,11031.7265625,254257.30800628662
497,11056.53125,254768.15223693848
498,11088.39453125,255275.1977443695
499,11119.1875,255782.30261802673
500,11133.40234375,256289.954662323
501,11172.6015625,256822.58009910583
502,11196.66015625,257336.61723136902
503,11233.88671875,257844.60997581482
504,11255.828125,258353.6126613617
505,11287.66796875,258876.51348114014
506,11323.93359375,259384.23418998718
507,11350.109375,259892.25935935974
508,11382.76953125,260399.3537425995
509,11406.71484375,260908.04624557495
510,11444.92578125,261416.24426841736
511,11470.09765625,261931.964635849
512,11496.1328125,262445.7471370697
513,11527.76171875,262965.6572341919
514,11561.94921875,263473.3352661133
515,11586.58984375,263981.2672138214
516,11619.95703125,264503.5364627838
517,11654.84765625,265010.2882385254
518,11686.44921875,265517.3885822296
519,11708.56640625,266024.67370033264
520,11744.5703125,266532.2918891907
521,11774.68359375,267049.1535663605
522,11801.72265625,267556.3385486603
523,11831.26953125,268084.4988822937
524,11867.20703125,268592.3035144806
525,11897.609375,269103.1801700592
526,11922.3359375,269611.42086982727
527,11946.0234375,270124.587059021
528,11982.67578125,270632.4818134308
529,12028.796875,271147.6089954376
530,12037.54296875,271658.5085391998
531,12071.1640625,272166.3627624512
532,12096.80859375,272674.32498931885
533,12137.3671875,273181.6487312317
534,12154.08203125,273690.35053253174
